Address,Indicative Price,Total Price
"Gunnar Schjelderups vei 11D, 0484 Oslo",ind price 4 950 000kr,5 074 750kr
"Thereses gate 26A, 0168 Oslo",ind price 6 450 000kr,6 798 640kr
"Thurmanns gate 10 C, 0461 Oslo",ind price 6 200 000kr,6 708 900kr
"Bentsebrugata 13B, 0476 Oslo",ind price 5 700 000kr,5 853 250kr
"Schweigaards gate 63, 0656 Oslo",ind price 4 190 000kr,4 493 288kr
"Ragnhild Schibbyes vei 11, 0968 Oslo",ind price 2 990 000kr,3 164 756kr
"Mellombølgen 72, 1157 Oslo",ind price 4 490 000kr,4 700 221kr
"Ullevålsveien 101, 0359 Oslo",ind price 3 800 000kr,3 968 180kr
"Stavangergata 46A, 0467 Oslo",ind price 3 000 000kr,3 202 954kr
"Dælenenggata 16B, 0567 Oslo",ind price 5 900 000kr,6 133 000kr
"Sverres gate 10, 0652 Oslo",ind price 4 325 000kr,4 667 714kr
"Trygve Ryens vei 32, 0680 Oslo",ind price 8 500 000kr,8 689 221kr
"Hjelms gate 7B, 0355 Oslo",ind price 6 000 000kr,6 151 170kr
"Filips gate 2, 0655 Oslo",ind price 5 490 000kr,5 645 140kr
"Jacobine Ryes vei 18, 0987 Oslo",ind price 5 250 000kr,5 382 490kr
"Sinsenveien 45 B, 0585 Oslo",ind price 5 400 000kr,5 545 900kr
"Grefsenveien 21A, 0482 Oslo",ind price 5 800 000kr,5 974 140kr
"Hasleveien 15A, 0571 Oslo",ind price 2 834 000kr,4 291 240kr
"Suhms gate 26, 0362 Oslo",ind price 5 990 000kr,6 146 240kr
"Kløfterhagen 25A, 1067 Oslo",ind price 2 990 000kr,3 118 949kr
"Bjørnheimveien 16B, 1086 Oslo",ind price 5 990 000kr,6 152 260kr
"Ammerudhellinga 41, 0959 Oslo",ind price 3 200 000kr,3 355 431kr
"Tante Ulrikkes vei 44B, 0984 Oslo",ind price 3 550 000kr,3 843 393kr
"Lofsrudhøgda 279, 1281 Oslo",ind price 3 290 000kr,3 400 490kr
"Zetlitz' gate 2A, 0165 Oslo",ind price 5 390 000kr,5 397 604kr
Address,Indicative Price,Total Price
Address,Indicative Price,Total Price
"Thereses gate 26A, 0168 Oslo",ind price 6 450 000kr,6 798 640kr
"Thurmanns gate 10 C, 0461 Oslo",ind price 6 200 000kr,6 708 900kr
"Bentsebrugata 13B, 0476 Oslo",ind price 5 700 000kr,5 853 250kr
"Schweigaards gate 63, 0656 Oslo",ind price 4 190 000kr,4 493 288kr
"Ragnhild Schibbyes vei 11, 0968 Oslo",ind price 2 990 000kr,3 164 756kr
"Mellombølgen 72, 1157 Oslo",ind price 4 490 000kr,4 700 221kr
"Ullevålsveien 101, 0359 Oslo",ind price 3 800 000kr,3 968 180kr
"Stavangergata 46A, 0467 Oslo",ind price 3 000 000kr,3 202 954kr
"Dælenenggata 16B, 0567 Oslo",ind price 5 900 000kr,6 133 000kr
"Sverres gate 10, 0652 Oslo",ind price 4 325 000kr,4 667 714kr
"Trygve Ryens vei 32, 0680 Oslo",ind price 8 500 000kr,8 689 221kr
"Hjelms gate 7B, 0355 Oslo",ind price 6 000 000kr,6 151 170kr
"Filips gate 2, 0655 Oslo",ind price 5 490 000kr,5 645 140kr
"Jacobine Ryes vei 18, 0987 Oslo",ind price 5 250 000kr,5 382 490kr
"Sinsenveien 45 B, 0585 Oslo",ind price 5 400 000kr,5 545 900kr
"Grefsenveien 21A, 0482 Oslo",ind price 5 800 000kr,5 974 140kr
"Hasleveien 15A, 0571 Oslo",ind price 2 834 000kr,4 291 240kr
"Suhms gate 26, 0362 Oslo",ind price 5 990 000kr,6 146 240kr
"Kløfterhagen 25A, 1067 Oslo",ind price 2 990 000kr,3 118 949kr
"Bjørnheimveien 16B, 1086 Oslo",ind price 5 990 000kr,6 152 260kr
"Ammerudhellinga 41, 0959 Oslo",ind price 3 200 000kr,3 355 431kr
"Tante Ulrikkes vei 44B, 0984 Oslo",ind price 3 550 000kr,3 843 393kr
"Lofsrudhøgda 279, 1281 Oslo",ind price 3 290 000kr,3 400 490kr
"Zetlitz' gate 2A, 0165 Oslo",ind price 5 390 000kr,5 397 604kr
"Aslakveien 22B, 0753 Oslo",ind price 7 575 000kr,12 200 969kr
"Gunnar Schjelderups vei 11D, 0484 Oslo",ind price 4 950 000kr,5 074 750kr
"Huitfeldts gate 30, 0253 Oslo",ind price 5 950 000kr,6 099 990kr
"Huitfeldts gate 30, 0253 Oslo",ind price 4 850 000kr,4 972 490kr
"Monrads gate 1D, 0577 Oslo",ind price 4 200 000kr,4 480 688kr
"Alnagata 11, 0192 Oslo",ind price 3 900 000kr,3 972 814kr
"Mekanikerveien 30, 0683 Oslo",ind price 4 690 000kr,4 880 981kr
"Sars' gate 60, 0564 Oslo",ind price 3 790 000kr,3 919 981kr
"Alnafetgata 3, 0192 Oslo",ind price 3 750 000kr,3 977 590kr
"Holmestrandgata 13, 0468 Oslo",ind price 4 950 000kr,5 363 750kr
"Arnljot Gellines vei 35, 0657 Oslo",ind price 4 300 000kr,4 741 688kr
"Haakon Tveters vei 11A, 0682 Oslo",ind price 5 690 000kr,5 888 683kr
"Ensjøveien 31A, 0661 Oslo",ind price 4 000 000kr,4 141 594kr
"Antenneveien 5, 1154 Oslo",ind price 4 400 000kr,4 697 450kr
"Wessels gate 2A, 0165 Oslo",ind price 3 800 000kr,3 990 316kr
"Thereses gate 26A, 0168 Oslo",ind price 6 450 000kr,6 798 640kr
"Thurmanns gate 10 C, 0461 Oslo",ind price 6 200 000kr,6 708 900kr
"Bentsebrugata 13B, 0476 Oslo",ind price 5 700 000kr,5 853 250kr
"Schweigaards gate 63, 0656 Oslo",ind price 4 190 000kr,4 493 288kr
"Ragnhild Schibbyes vei 11, 0968 Oslo",ind price 2 990 000kr,3 164 756kr
"Mellombølgen 72, 1157 Oslo",ind price 4 490 000kr,4 700 221kr
"Ullevålsveien 101, 0359 Oslo",ind price 3 800 000kr,3 968 180kr
"Stavangergata 46A, 0467 Oslo",ind price 3 000 000kr,3 202 954kr
"Dælenenggata 16B, 0567 Oslo",ind price 5 900 000kr,6 133 000kr
"Sverres gate 10, 0652 Oslo",ind price 4 325 000kr,4 667 714kr
"Trygve Ryens vei 32, 0680 Oslo",ind price 8 500 000kr,8 689 221kr
"Hjelms gate 7B, 0355 Oslo",ind price 6 000 000kr,6 151 170kr
"Filips gate 2, 0655 Oslo",ind price 5 490 000kr,5 645 140kr
"Jacobine Ryes vei 18, 0987 Oslo",ind price 5 250 000kr,5 382 490kr
"Sinsenveien 45 B, 0585 Oslo",ind price 5 400 000kr,5 545 900kr
"Grefsenveien 21A, 0482 Oslo",ind price 5 800 000kr,5 974 140kr
"Hasleveien 15A, 0571 Oslo",ind price 2 834 000kr,4 291 240kr
"Suhms gate 26, 0362 Oslo",ind price 5 990 000kr,6 146 240kr
"Kløfterhagen 25A, 1067 Oslo",ind price 2 990 000kr,3 118 949kr
"Bjørnheimveien 16B, 1086 Oslo",ind price 5 990 000kr,6 152 260kr
"Ammerudhellinga 41, 0959 Oslo",ind price 3 200 000kr,3 355 431kr
"Tante Ulrikkes vei 44B, 0984 Oslo",ind price 3 550 000kr,3 843 393kr
"Lofsrudhøgda 279, 1281 Oslo",ind price 3 290 000kr,3 400 490kr
"Zetlitz' gate 2A, 0165 Oslo",ind price 5 390 000kr,5 397 604kr
"Aslakveien 22B, 0753 Oslo",ind price 7 575 000kr,12 200 969kr
"Gunnar Schjelderups vei 11D, 0484 Oslo",ind price 4 950 000kr,5 074 750kr
"Huitfeldts gate 30, 0253 Oslo",ind price 5 950 000kr,6 099 990kr
"Huitfeldts gate 30, 0253 Oslo",ind price 4 850 000kr,4 972 490kr
"Monrads gate 1D, 0577 Oslo",ind price 4 200 000kr,4 480 688kr
"Alnagata 11, 0192 Oslo",ind price 3 900 000kr,3 972 814kr
"Mekanikerveien 30, 0683 Oslo",ind price 4 690 000kr,4 880 981kr
"Sars' gate 60, 0564 Oslo",ind price 3 790 000kr,3 919 981kr
"Alnafetgata 3, 0192 Oslo",ind price 3 750 000kr,3 977 590kr
"Holmestrandgata 13, 0468 Oslo",ind price 4 950 000kr,5 363 750kr
"Arnljot Gellines vei 35, 0657 Oslo",ind price 4 300 000kr,4 741 688kr
"Haakon Tveters vei 11A, 0682 Oslo",ind price 5 690 000kr,5 888 683kr
"Ensjøveien 31A, 0661 Oslo",ind price 4 000 000kr,4 141 594kr
"Antenneveien 5, 1154 Oslo",ind price 4 400 000kr,4 697 450kr
"Wessels gate 2A, 0165 Oslo",ind price 3 800 000kr,3 990 316kr
